id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
631,2016,7,5/22/2016,6,1,1,1,normal,0,6,22,0,YK Pathan,Eden Gardens,KN Ananthapadmanabhan,M Erasmus,
632,2016,27,5/22/2016,7,5,5,1,normal,0,5,0,6,V Kohli,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,
633,2016,5,5/24/2016,3,5,5,1,normal,0,5,0,4,AB de Villiers,M Chinnaswamy Stadium,AK Chaudhary,HDPK Dharmasena,
634,2016,8,5/25/2016,1,6,6,1,normal,0,1,22,0,MC Henriques,Feroz Shah Kotla,M Erasmus,C Shamshuddin,
635,2016,8,5/27/2016,3,1,1,1,normal,0,1,0,4,DA Warner,Feroz Shah Kotla,M Erasmus,CK Nandan,
636,2016,5,5/29/2016,1,5,1,2,normal,0,1,8,0,BCJ Cutting,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
637,2018,6,07-Apr,2,9,9,1,,,9,,,,,,,
638,2018,32,08-Apr,7,8,8,1,,,8,,,,,,,
639,2018,7,04-08-2018,5,6,6,1,,,6,,,,,,,
640,2018,1,09-Apr,10,1,1,1,,,10,,,,,,,
641,2018,12,04-10-2018,6,9,9,1,,,9,,,,,,,
642,2018,11,11-Apr,10,7,7,1,,,10,,,,,,,
643,2018,1,04-12-2018,2,1,1,1,,,1,,,,,,,
644,2018,5,13-Apr,8,5,5,1,,,5,,,,,,,
645,2018,6,14-Apr,2,7,7,1,,,7,,,,,,,
646,2018,7,14-Apr,6,1,1,1,,,1,,,,,,,
647,2018,5,15-Apr,10,5,5,1,,,10,,,,,,,
648,2018,32,15-Apr,8,9,9,1,,,8,,,,,,,
649,2018,7,16-Apr,6,7,7,1,,,6,,,,,,,
650,2018,6,17-Apr,2,5,5,1,,,2,,,,,,,
651,2018,11,18-Apr,10,6,6,1,,,6,,,,,,,
